ela_mean,ela_std,fft_mean,texture_variance,noise_mean,copy_move_score,noise_inconsistency,label
21.30278778076172,20.694413506217064,140.41941833496094,122.6469957394147,2.7577298482259116,0.0,51.752501770244834,0
15.11178970336914,19.715783429828953,141.01968383789062,125.81674613710493,4.499857584635417,0.0,186.54036486106955,0
17.433944702148438,18.77796229573853,151.21870040893555,370.5246145888086,3.431072235107422,0.0,60.50782943982474,0
18.978919982910156,18.66818571275021,134.54784393310547,68.5844160085544,5.481451670328776,0.0,61.18296915259965,0
14.308188120524088,15.13140513898405,136.38679885864258,83.15283024864038,2.8500022888183594,0.0,44.157463148297225,0
18.635080973307293,18.793407263533485,135.94754028320312,78.45165633513534,2.4661954243977866,0.0,36.95619271751468,0
19.27886962890625,18.76511816399218,138.6409797668457,100.55274537180958,5.6776987711588545,0.0,118.574448393966,0
16.084089914957683,18.244963906489627,138.71274185180664,120.84099861198047,2.860925038655599,0.0,51.40408686935163,0
13.483028411865234,17.22587665898603,152.0506820678711,353.9448468682822,5.666084289550781,0.0,205.19799506530023,0
17.49938710530599,19.94130192060559,134.64471054077148,77.33415671787225,3.0047887166341147,0.0,76.80420118174176,0
16.832963307698567,15.233914028774239,147.07173919677734,225.121202434515,6.88247553507487,0.0,44.59225693012444,0
11.350247701009115,12.557193865152092,144.15267181396484,165.3240258693695,4.320576985677083,0.0,113.32808217608618,0
18.27741241455078,20.433545585902117,135.12411499023438,71.75651015118638,2.094132741292318,0.0,36.09381777955618,0
18.13181432088216,17.879692288084755,135.01494979858398,82.60992453955987,5.659971872965495,0.0,112.53689096102245,0
20.77220408121745,21.768421053488563,121.63567352294922,19.39959695842117,6.288003285725911,0.0,98.71466530033497,0
16.201319376627605,17.491419052993827,118.70206069946289,12.862480100186076,4.528165181477864,0.0,79.95158121498473,0
15.920945485432943,16.56388248846426,132.1687774658203,56.82375117432093,4.0626373291015625,0.0,77.62625534689543,0
15.693855285644531,18.001153767176056,141.27088928222656,147.82558179064654,4.643826802571614,0.0,145.44894510321748,0
22.001588185628254,21.224332709435668,139.27615356445312,109.53007385786623,4.015415191650391,0.0,54.1320644167685,0
17.249069213867188,21.051103787955025,148.32928085327148,304.339295339174,2.992863972981771,0.0,52.85973050248754,0
11.587172190348307,14.211828847519802,129.88645553588867,44.00651776160521,3.0280787150065103,0.0,67.6140850537871,0
